epoch,accuracy,loss,val_accuracy,val_loss
0,0.5059999823570251,0.696056067943573,0.5299999713897705,0.6971885561943054
1,0.5170000195503235,0.6940452456474304,0.4699999988079071,0.6969688534736633
2,0.5230000019073486,0.6916915774345398,0.46000000834465027,0.6960960626602173
3,0.5180000066757202,0.6908541321754456,0.46000000834465027,0.6946391463279724
4,0.5270000100135803,0.6904271841049194,0.46000000834465027,0.6940158009529114
5,0.527999997138977,0.6891776323318481,0.47999998927116394,0.6942601799964905
6,0.5360000133514404,0.6881147623062134,0.5,0.6932443976402283
7,0.531000018119812,0.6879297494888306,0.550000011920929,0.6918459534645081
8,0.5440000295639038,0.6875142455101013,0.5299999713897705,0.6927309632301331
9,0.5320000052452087,0.6869258284568787,0.5400000214576721,0.6924451589584351
